Course Name,Course Code,Lecture Time,Tutorial Time,Lab Time,Credit
Advanced Geotechnical Engineering,CE 601,"L1,L2",,"I2,M1",5
Advanced Structural Analysis,CE 607,"N1,N2",,,4
Advanced Engineering Hydrology,CE 611,"A1,A2",,,4
Structural Dynamics,CE 622,"M1,M2",,,4
Advanced Hydraulic Engineering,CE 625,"C1,C2",,,4
Slopes and Retaining Structures,CE 627,"K1,K2",,,2
Infrasructure Systems: Planning and Management,CE 637,"J1,J2",,,4
Air Pollution Control Engineering,CE 634,"P1,P2",,,4
Pavement Materials and Design,CE 635,"J1,J2",,,4
Advanced Solid Mechanics,ES 621,"E1,E2",,,4
Special Topics in Civil Engineering: Domestic Wastewater Engineering (Treatment and Reuse),CE 691-VI,"F1,F2",,,4
Advanced Concrete Technology,CE 638,"L1,L2",,,4
Introduction to Polymer Science and Engineering,CL 324,"G1,G2",,,4
Biochemical Engineering,CL 426,"D1,D2",,,4
Formulation Science and Engineering,CL 427,"E1,E2",,,4
Nanoscale Science,BS 401,"F1,F2",,,4
Advance Transport Phenomena,CL 601,"C1,C2",,,4
Advanced Thermodynamics,CL 602,"A1,A2",,,4
Advanced Reaction Engineering,CL 604,"B1,B2",,,4
Engineering Optimization,ES 604,"M1,M2",,,4
"Flexible Electronics: Materials, Methods and Devices",ES 662,"K1,K2",,,4
Machine Learning,ES 335,"P1,P2",J1,,4
Computer and Network Security,CS 431,"G2,H2",,,4
Algorithms,CS 610,"E1,E2",,,4
Theoretical Foundations of ML,CS 618,"P1,P2",,,4
Computer Systems,CS 612,"A1,A2",,,4
Natural Language Processing,CS 613,"M1,M2",,,4
Special Topics in CSE: Toolkit for Theoretical Computer Science,CS 691,"I1,I2",,,4
Special Topics in Computer Science: Usable Privacy and Security,CS 691-XIV,"M1,M2",,,4
5G and Beyond: An Introduction,ES 417,"M1,M2",,,4
Electric Vehicle Technology,EE 426,"M1,M2",,,4
Smart Grid,EE 659,"J1,J2",,,4
VLSI Design,EE 617,"G1,G2",,,4
Lasers,EE 639,"L1,L2",,,4
Physics of Transistors,EE 644,"C1,C2",,,4
Dynamic Behaviour of Electric Machines,EE 648,"F1,F2",,I1,5
Introduction to Photonics,ES 414,"P1,P2",F1,,4
Digital Control Systems,ES 616,"C1,C2",G2,,4
Microfabrication and Semiconductor Processes,ES 626,"J1,J2",,,4
CMOS Analog IC Design,EE 651,"A1,A2",,,4
Analog IC Design Lab,EE 653,,,"K1,I1",2
Digital VLSI Circuits Laboratory,EE 656,,,"J2,M2",2
Smart Renewable Energy Systems,ES 663,"D1,D2",,,4
Computer Vision,ES 666,"L1,L2",,,4
Special Topics in Electrical Engineering: Economics of Regulation in India,EE 691-VII,"K1,K2",,,4
Selected Topics in Electrical Engineering: Mixed-Signal IC Design,EE 691-XI,"K2,L2",,,4
Mechatronics,ES 408,"D1,D2",,,4
Special Topics in Mechanical Engineering - Machine Design,ME 491(A),"K1,K2",,,4
Foundations of Fluid Dynamics,ES 607,"E1,E2",G1,,4
Computational Fluid Dynamics,ME 605,"P1,P2",N2,,4
Compressible Flow,ME 635,"L1,L2",,,4
Introduction to Robotics,ME 639,"E1,E2",,,4
Fracture Mechanics,ME 640,"N1,N2",,,4
Elastodynamics and Vibrations,ES 646,"M1,M2",,,4
Special Topics in Mechanical Engineering - Phase Change Phenomena,ME 691,"J1,J2",,,4
Principles of Metal Extraction and Refining,MSE 304,"E1,E2",,,4
