Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,,,,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
MSE 206,Physics of Materials,3,0,0,4,Abhay Gautam(I),,,,"C1,C2
 (7/210)",,,,,,,
MSE 210,Microstructural Engineering,3,0,1.5,4,Prafull Pandey(I+L),,,,"G1,G2
(11/101)",,"K1
(MSE Lab)",,,,,
EE 224,Power Systems,3,1.5,0,4,Naran Pindoriya(I+T),,,,"C1,C2
 (11/101)","H2
 (11/101,11/102)",,,,,,
ES 245,Control Systems,3,1.5,0,4,S Rajendran(I+T),,,,"D1,D2
(10/202)","N1
(10/202,7/203)",,Course Plan,,NOT Applicable for UG Students Admitted before 2022.,,
ES 301,Data Structures and Algorithms II,3,1,0,4,Manoj Gupta(I+T),,,,"P1,P2
(10/201)","J1
(10/201)",,,,,,
CE 302,Structural Analysis,3,1,0,4,Manish Kumar(I+T),,,,"C1,C2
 (7/208)","H2
 (7/208)",,,,,,
CS 303,Mathematical Foundations for AI,3,1,0,4,"Manisha Padala(I+T),Neeldhara Misra(I+T)",,,,"G1,G2
(10/202)","K2
 (1/101)",,,,,,
PE 104,Physical Education,0,0,0,0,,,,,,,,,,,,
IN 104,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
6th Sem | B Tech Chemical Engineering,,,,,,,,,,,,,,,,,
CL 316,Separation Processes - II,2,1,0,3,Karthik Subramaniam(I+T),,,,"G1,G2
(7/208)",,,,,,,
CL 317,"Process Synthesis, Design, and Simulation",1.5,0,3,4,Hari Ganesh(I+L),,,,"E1
(10/102)",,"I2,M1
(7/109)",,,,,
CL 325,Transport Phenomena,2,1,0,3,Nitin Padhiyar(I+T),,,,"D1,D2
 (10/102)",,,,,,,
CL 327,Integrated Chemical Engineering Lab-II,0,0,3,2,Abinaya Sampath(L),,,,,,"J1,L1
(CL Lab)",Course plan,,,,
,Discipline Elective(s),,,,,,,,,,,,,,Refer to Annexure II of the BTech Advisory for the list of discipline electives,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Chemical Engineering,,,,,,,,,,,,,,,,,
HS XXX,HS Elective,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6th Sem | B Tech Civil Engineering,,,,,,,,,,,,,,,,,
CE 311,Design of Reinforced Concrete Structures,3,1,1.5,5,"Gaurav Srivastava(I+T),K. Siva Teja Chopperla(I+T)",,,,"E1,E2
 (7/101)","N2
 (7/206)","L2
(6/102)",,,,,
CE 313,Environmental Science and Engineering,3,0,0,4,Sameer Patel(I),,,,"D1,D2
(7/104)",,,,,,,
CE 314,Geotechnical Engineering,1.5,1.5,3,4,Ajanta Sachan(I+T+L),,,,"G1,G2
 (7/110)",,"I1,K1
(CE Lab)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Discipline Elective(s),,,,,,,,,,,,,,Refer to Annexure II of the BTech Advisory for the list of discipline electives,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Civil Engineering,,,,,,,,,,,,,,,,,
CE 403,Construction Technology & Management,3,0,0,4,K.Siva Teja Chopperla(I),,,,"G1,G2
(7/210)",,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6th Sem | B Tech Computer Science and Engineering,,,,,,,,,,,,,,,,,
CS 202,Software Tools and Techniques for CSE ,1.5,0,3,4,Shouvick Mondal(I+L),,,,"K1
(10/202)",,"C2,D2
(10/104,10/105)",Course Plan & Website,,,,
CS 330,Operating Systems,3,0,1.5,4,Abhishek Bichawat(I+L),,,,"F1,F2
(1/101)",,"H2
(10/105)",,,,,
CS 331,Computer Networks,3,1,0,4,Sameer Kulkarni(I+T),,,,"E1,E2
(10/201)","A1
(10/201)",,,,,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Computer Science and Engineering,,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,HSS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6th Sem | B Tech Electrical Engineering,,,,,,,,,,,,,,,,,
EE 341,Communication Systems,3,1,0,4,Ravi Hegde(I+T),,,,"G1,G2
(10/102)","A1
(10/102)",,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Discipline Elective(s),,,,,,,,,,,,,,Refer to Annexure II of the BTech Advisory for the list of discipline electives,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Electrical Engineering,,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,HSS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
6th Sem | B Tech Mechanical Engineering,,,,,,,,,,,,,,,,,
ME 335,Synthesis and Analysis of Mechanisms,2,0,1,3,"Harish P. M.(I+L), Madhu Vadali (I+L)",,,,"P1,P2
 (7/209)",,"H1
(Makers Bhavan)",,,,,
ME XXX,Mechanical Systems Design,2,0,1.5,3,Prabhat Munshi(I+L),,,,"E1,E2
 (7/107)",,"K1
(ME Lab)",,,Will be available for registration during the Course Adjustment (Add/Drop) period,,
ES 337,Energy Systems,3,0,0,3,Atul Bhargav(I),,,,"D1,D2
 (7/107)",,,,,Will be available for registration during the Course Adjustment (Add/Drop) period,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Discipline Elective(s),,,,,,,,,,,,,,Refer to Annexure II of the BTech Advisory for the list of discipline electives,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Mechanical Engineering,,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,HSS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
6th Sem | B Tech Materials Engineering,,,,,,,,,,,,,,,,,
MSE 302,Corrosion and Degradation of Materials,3,0,0,4,Amit Arora(I),,,,"G1,G2
 (7/202)",,,,,,,
MSE 312,Materials and Environment,1.5,0,0,2,"Superb Misra(I),Pradipta Ghosh(I)",,,,"E1
(11/102)",,,,,,,
,BS Elective,,,,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Discipline Elective(s),,,,,,,,,,,,,,Refer to Annexure II of the BTech Advisory for the list of discipline electives,,
IN 106,Comprehensive Viva Voce (Third Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8th Sem | B Tech Materials Engineering,,,,,,,,,,,,,,,,,
IN 108,Comprehensive Viva Voce (Fourth Year B.Tech. Students),0,0,0,0,,,,,,,,,,,,
,HSS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
Additional Courses: Physical Education for Postgraduate Students,,,,,,,,,,,,,,,,,
PE 500,Physical Education (For 2022 MSc and MA students),0,0,0,0,,,,,,,,,,,,
PE 600,Physical Education (For 2022 M Tech and PhD students),0,0,0,0,,,,,,,,,,,,
Additional Courses: Civil Engineering,,,,,,,,,,,,,,,,,
ES 404,Networks and Complex Systems,3,0,0,4,Udit Bhatia(I),,,,"P1,P2
 (7/102)",,,,,,,
ES 622,Finite Element Methods,3,0,0,4,Sushobhan Sen(I),,,,"I1,I2
 (7/101)",,,ES 622 Syllabus 2024-25 Sem II.docx,,,,
CE 602,Analysis and Design of Foundation Systems,3,0,3,5,"Amit Prashant(I),SR Gandhi(I),Ajanta Sachan(L)",,,,"M1,M2
 (7/202)",,"J1,L1
(CE Lab)",,,,,
