Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
ES 616,Digital Control Systems,3,1,0,4,S Rajendran(I+T),,14,,"B1,B2
 (11/204)","H2
 (13/124)",,https://drive.google.com/file/d/1Cdvmn748BuugyKJpQo5YAc6MDZJqRBYn/view?usp=drive_link,,,,
ES 626,Microfabrication and Semiconductor Processes,3,0,0,4,Nihar Mohapatra(I),,35,,"I1,I2
 (7/210)",,,,,,,
EE 651,CMOS Analog IC Design,3,0,0,4,Tarun Agrawal(I),,26,,"N1,N2
 (7/210)",,,course plan,,,,
ES 657,Biomedical Ultrasound,3,0,0,4,Himanshu Shekhar(I),,22,,"P1,P2
 (11/204)",,,,,,,
EE 659,Smart Grid,3,0,0,4,Naran Pindoriya(I),,18,,"K1,K2
 (13/125)",,,EE 659_Course Plan,,,,
ES 663,Smart Renewable Energy Systems,3,0,0,4,Pallavi Bharadwaj(I),,19,,"M1,M2
 (13/124)",,,Course Link,,,,
ES 666,Computer Vision,3,0,0,4,Shanmuganathan Raman(I),,129,,"E1,E2
 (Surendra C Sheth Learning Theatre)",,,Course Plan ES 666 Computer Vision - 2025-26,,,,
ES 668,5G and Beyond,3,0,0,4,"Ravi Hegde(I), Sameer Kulkarni(I)",,8,,"N1,N2
 (13/125)",,,https://docs.google.com/document/d/198eel1egMa8j4mvsq2Fbj9riGMKX8FGSA9CUFXo3Ryg/edit?tab=t.0,,,,
EE 691-VII,Special Topics in Electrical Engineering: Economics of Regulation in India,3,0,0,4,Anand Kumar(I),,21,,"I1,I2
 (11/204)",,,https://drive.google.com/file/d/1TKO7JzPIO4buIZP9WmkYqKM5CurWVQwo/view?usp=sharing,,,,
EE 691-XI,Selected Topics in Electrical Engineering: Mixed-Signal IC Design,3,0,0,4,Dinesh Kumar Sharma(I),,5,,"K1,K2
 (11/204)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional courses ME,,,,,,,,,,,,,,,,,
ES 408,Mechatronics,3,0,0,4,Madhu Vadali(I),,27,,"M1,M2
 (7/103)",,,,,,,
ES 607,Foundations of Fluid Dynamics,3,1,0,4,Vinod Narayanan(I+T),,21,,"G1,G2
 (7/106)","A1
 (7/207)",,,,,,
ME 605,Computational Fluid Dynamics,3,1.5,0,4,Dilip Sundaram(I+T),,31,,"E1,E2
 (7/104)","B1
 (7/101)",,,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,Harmeet Singh(I),,34,,"G1,G2
 (7/207)",,,course_plan,,,,
ME 639,Introduction to Robotics,3,0,0,4,Madhu Vadali(I),,25,,"G1,G2
 (7/201)",,,,,,,
ME 640,Fracture Mechanics,3,0,0,4,Ravi Ayyagari(I),,2,,"J1,J2
 (11/204)",,,,,,,
ES 646,Elastodynamics and Vibrations,3,0,0,4,Jayaprakash K. R.(I),,3,,"L1,L2
 (11/205)",,,,,,,
ME 647,Vapor Liquid Phase Change Phenomena,3,0,0,4,Soumyadip Sett(I),,40,,"N1,N2
 (7/204)",,,,,,,
ME 691-XIV,Special Topics in Mechanical Engineering: Mathematical Methods for Mechanical Engineers,3,1,0,4,"Uddipta Ghosh(I+T),Shubhangi Bansude(I+T),Prabhat Munshi(I)",,40,,"K1,K2
 (7/101)","J1
 (7/210)",,,,,,
,,,,,,,,,,,,,,,,,
Additional courses MSE,,,,,,,,,,,,,,,,,
MSE 403,Science and Technology of Welding and Joining,3,0,0,4,Amit Arora(I),,40,,"N1,N2
 (7/206)",,,Course Plan,,,,
ES 415,Nature Inspired Materials Design,3,0,0,4,Raghavan Ranganathan(I),,40,,"F1,F2
 (7/103)",,,Course Plan,,,,
MSE 604,Deformation Behavior of Materials,3,0,0,4,Pradipta Ghosh(I),,40,,"A1,A2
 (11/101)",,,Course Plan,,,,
MSE 635,Advanced Alloy Design and Processing,3,0,0,4,Prafull Pandey(I),,40,,"C1,C2
 (7/207)",,,,,,,
MSE 629,Structure and Defects of Materials,3,0,0,4,Prafull Pandey(I),,23,,"G1,G2
 (7/205)",,,,,,,
MSE 632,Characterization of Materials,3,0,3,4,Emila Panda(I+L),,29,,"A1,A2
 (7/209)",,"J1,L1
(MSE Lab)",,,,,
Additional courses CH,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CH 302,Electrochemical Science and Engineering,3,1,0,4,Sudhanshu Sharma(I+T),,13,,"G1,G2
 (11/204)","J2
 (13/125)",,,,,,BS
CH 401,Food Chemistry,3,1,0,4,Iti Gupta(I+T),,72,,"L1,L2
 (7/208)","J2
 (7/208)",,course plan,,,,BS
CH 506,Physical Organic Chemistry,3,0,0,4,Sudipta Basu(I),,27,,"E1,E2
 (7/201)",,,https://drive.google.com/file/d/1jlzaYfudRSbe8-YRjv6jV5odOtYl5dQn/view?usp=sharing,,,,BS
CH 510,Main Group and Transition Metal Chemistry,3,0,0,4,Priyabrata Ghana(I),,40,,"M1,M2
 (7/104)",,,,,,,BS
CH 511,Quantum Chemistry,3,0,0,4,Anirban Mondal(I),,41,,"D1,D2
 (7/202)",,,,,,,BS
CH 513,Advanced Organic Chemistry,3,0,0,4,Sivapriya Kirubakaran(I),,25,,"C1,C2
 (7/108)",,,,,,,BS
CH 522,Inorganic Chemistry Laboratory,0,0,3,2,Biswajit Mondal(L),,38,,,,"I1,K1,I2,M1
(CH Lab)",,,,,BS
CH 523,Organic Chemistry Laboratory,0,0,3,2,Chandrakumar Appayee(L),,38,,,,"J1,L1,K2,L2
(CH Lab)",Course Plan,,,,BS
CH 524,Analytical and Computational Chemistry Laboratory,0,0,3,2,Anirban Mondal(L),,40,,,,"J2,M2
(10/203)",,,,,BS
CH 616,Applied Chemical Biology,3,0,0,4,Sudipta Basu(I),,27,,"E1,E2
 (7/201)",,,https://drive.google.com/file/d/1jlzaYfudRSbe8-YRjv6jV5odOtYl5dQn/view?usp=sharing,,,,BS
CH 622,Interpretative Organic Spectroscopy,3,0,0,4,Sriram Kanvah(I),,45,,"G1,G2
 (7/202)",,,,,,,BS
CH 624,Molecular Spectroscopy,3,0,0,4,Saumyakanti Khatua(I),,40,,"I1,I2
 (7/104)",,,Course Plan,,,,BS
CH 626,Asymmetric Synthesis and Catalysis,3,0,0,4,Chandrakumar Appayee(I),,25,,"E1,E2
 (7/202)",,,Course Plan,,,,BS
CH 635,Chemical Crystallography,2,0,1,4,Vijay Thiruvenkatam(I+L),,10,,"B1,B2
 (7/105)",,"I1
(CH Lab)",Course Plan,,,,BS
CH 636,Statistical Thermodynamics and its Applications in Chemistry,3,0,0,4,Sairam Mallajosyula(I),,10,,"M1,M2
 (13/125)",,,,,,,BS
CH 640,Bio-inorganic Chemistry,3,0,0,4,Biswajit Mondal(I),,40,,"N1,N2
 (7/103)",,,Course plan for CH640_Bio-inorganic Chemistry.pdf,,,,BS
CH 641,Chemistry of Energy Materials,3,0,0,4,Manisha Samanta(I),,40,,"P1,P2
 (7/103)",,,CH641-course-plan-2025 -Samanta.pdf,,,,BS
CH 642,Non-linear Spectroscopy and its Applications,3,0,0,4,Partha Pratim Roy(I),,40,,"K1,K2
 (7/210)",,,,,,,BS
,,,,,,,,,,,,,,,,,
Additional courses MA,,,,,,,,,,,,,,,,,
MA 501,Basic Algebra,3,1.5,0,4,Prof. Jugal K Verma(I+T),,65,,"E1,E2
 (Jayshree S Sheth Learning Theatre)","B1
 (10/102)",,Basic algebra course Plan,,,,BS
MA 504 (A),Linear Algebra,3,1.5,0,4,Projesh Nath Choudhury(I+T),,40,,"D1,D2
 (7/208)","B2
 (7/208)",,Course Plan,,,,BS
MA 509 (A),Real Analysis of One Variable,3,1.5,0,4,Atul Dixit(I+T),,40,,"C1,C2
 (7/205)","A2
 (7/101)",,Real Analysis course plan,,,,BS
MA 510,Topology,3,1.5,0,4,Bipul Saurabh(I+T),,51,,"G1,G2
 (7/208)","A1
 (7/109)",,Course Plan- Topology,,,,BS
MA 605,Commutative Algebra,3,0,0,4,Arnab Saha(I),,7,,"F1,F2
 (11/204)",,,,,,,BS
MA 624,Partial Differential Equations,3,1.5,0,4,Jagmohan Tyagi(I+T),,44,,"I1,I2
 (7/207)","F2
 (7/207)",,Course Plan,,,,BS
MA 626,Functional Analysis,3,1.5,0,4,Prof. Gadadhar Misra(I+T),,44,,"K1,K2
 (7/207)","L2
 (7/207)",,Course Plan: MA 626,,,,BS
MA 627,Algebraic Topology,3,0,0,4,Sanjay Amrutiya(I),,6,,"M1,M2
 (7/106)",,,Course Plan,,,,BS
MA 630 (A),Measure Theory & Probability,3,1.5,0,4,Chetan Pahlajani(I+T),,23,,"N1,N2
 (7/107)","P1
 (7/107)",,Course Plan,,,,BS
MA 634,Algebraic Number Theory,3,0,0,4,Indranath Sengupta(I),,19,,"D1,D2
 (11/206)",,,,,,,BS
MA 640,Integral Geometry in Imaging Sciences,3,0,0,4,Rohit Kumar Mishra(I),,40,,"L1,L2
 (7/210)",,,Course Plan,,,,BS
MA 643,Numerical Analysis for Partial Differential Equations,3,0,0,4,Abhinav Jha(I),,,,"M1,M2
 (7/205)",,,Course Plan,,,,BS
ES 645,Optimization methods for machine learning,3,0,0,4,Madhu Gupta(I),,40,,"J1,J2
 (7/104)",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Additional courses PH,,,,,,,,,,,,,,,,,
PH 502,Mathematical Methods of Physics I,3,1,0,4,Prasanna Venkatesh(I+T),,52,,"G1,G2 
(11/102)","K1
(11/101)",,,,,,BS
PH 503,Quantum Mechanics I,3,1,0,4,Arpan Bhattacharyya(I+T),,54,,"E1,E2
 (11/102)","K2
(11/101)",,Course Plan,,,,BS
PH 505,Classical Electrodynamics,3,1,0,4,Vinod Chandra(I+T),,46,,"C1,C2
 (7/107)","J2
(7/203)",,Course plan:ED,,,,BS
PH 508,Classical Mechanics,3,0,0,4,Sudipta Sarkar(I),,71,,"D1,D2
 (7/209)",,,Course Plan: Classical Mechanics,,,,BS
PH 510,Condensed Matter Physics,3,1,0,4,Chandan Kumar Mishra(I+T),,34,,"D1,D2
 (7/206)","J1
(7/203)",,Course Plan,,,,BS
PH 605,Topics and Classical Mechanics and Electrodynamics,3,0,0,4,Urjit Yajnik(I),,8,,"D1,D2
 (11/205)",,,Course plan,,,,BS
PH 610,Quantum Field Theory I,3,0,0,4,Baradhwaj Coleppa(I),,16,,"G1,G2
 (5/202)",,,Course Plan,,,,BS
PH 611,X-ray Scattering: Concepts and Applications,3,0,0,4,Rupak Banerjee(I),,11,,"A1,A2
 (13/124)",,,Course Plan,,,,BS
PH 614,Atomic and Molecular Physics,3,0,0,4,Gopinadhan Kalon(I),,34,,"F1,F2
 (5/202)",,,PH 614- Atomic Mol Phys Course Information.pdf,,,,BS
PH 643,Quantum Computing and Information,3,0,0,4,Ravinder Puri(I),,40,,"I1,I2
 (7/106)",,,Course plan,,,,BS
PH 645,Topics in Soft and Active Matter Physics,3,0,0,4,Krishnakanti Dey(I),,6,,"B1,B2
 (13/125)",,,Course Plan,,,,BS
PH 646,Advanced Statistical Physics,3,0,0,4,Abhishek Samanta(I),,8,,"E1,E2
 (11/204)",,,CoursePlan_AdvStatPhys,,,,BS
PH 647,Particle Physics and Gauge Theories,3,0,0,4,Rusa Mandal(I),,40,,"E1,E2
 (7/205)",,,Course plan,,,,BS
,,,,,,,,,,,,,,,,,
Additional Course EH,,,,,,,,,,,,,,,,,
EH 601,Earth Surface Processes in the Anthropocene,3,0,1.5,4,Vikrant Jain(I+L),,6,,"G1,G2
 (13/125)",,"J1
(11/205)",,,,,BS
EH 605,Modelling of of Earth System and Sustainability,3,0,0,4,R. N. Singh(I),,53,,"L1,L2
 (11/101)",,,course plan,,,,BS
EH 608,Biodiversity Conservation and Sustainable Development,3,0,0,4,C N Pandey(I),,48,,"G1,G2
 (7/107)",,,,,,,BS
EH 611,Near Surface Geophysics,3,0,0,4,Utsav Mannu(I),,40,,"A1,A2
 (7/201)",,,Link,,,,BS
EH 613,Carbonate Sedimentology,3,0,1.5,4,Pankaj Khanna(I+L),,40,,"D1,D2
 (13/124)",,,Course Plan,,,,BS
EH 619,Geobiology,3,0,0,4,Sonal Khanolkar(I),,9,,"D1,D2
 (11/204)",,,https://drive.google.com/file/d/1M47tplvXEfJHdckas3uBiJwM15Kfb1BP/view?usp=drive_link,,,,BS
EH 691-III,Special Topics in Earth Science: Microwave Remote Sensing,3,0,0,4,P. C. Pandey(I),,20,,"B1,B2
 (13/124)",,,,,,,BS
,,,,,,,,,,,,,,,,,
Additional Courses CG,,,,,,,,,,,,,,,,,
CG 501,Computation and Cognition,3,0,0,4,Krishna Miyapuram(I),,48,,"B1,B2
 (7/102)",,,CG 501,,,,BS
CG 503,Fundamentals of Cognitive Psychology,3,0,0,4,Meera Mary Sunny(I),,30,,"G1,G2
 (7/206)",,,,,,,BS
CG 504,Research Methods in Cognitive Science,1.5,0,1.5,4,Vaibhav Tripathi(I+L),,58,,"E1,E2
 (10/202)",,,,,,,BS
CG 505,Fundamental Neuroscience,3,0,0,4,Pratik Mutha(I),,49,,"D1,D2
 (7/107)",,,,,,,BS
CG 606,Philosophy of Mind,3,0,0,4,Jaison Manjaly(I),,50,,"C1,C2
 (7/203)",,,,,,,BS
CG 612,Neural Plasticity,3,0,0,4,Leslee Lazar(I),,19,,"A1,A2
 (13/125)",,,CG 612,,,,BS
CG 691-VI,Special Topics in Cognitive Sciences: Second Language Acquisition,3,0,0,4,Jooyoung Kim(I),,,,"M1,M2
(7/105)",,,CG691-VI,,,,BS
CG 691-VII,"Special Topics in Cognitive Sciences: Language, Culture and Cognition",3,0,0,4,Nishaant Choksi(I),,40,,"F1,F2
 (13/124)",,,,,,,BS
,,,,,,,,,,,,,,,,,
"Additional Courses Design, HSS, Management",,,,,,,,,,,,,,,,,
FP 602,Writing (PG),1,0,3,4,Sharmita Lahiri(I+L),,273,,"F2
 (Jasubhai Auditorium)",,"H1,H2
 (7/206,7/207,7/208,7/209,7/210,7/108,7/109)",,,Students enrolling for Writing course (Maths) can also take this course in IMS,,
HS 104,Foundational Sanskrit,3,1,0,4,Mana Shah(I+T),,40,,"L1,L2
 (7/103)","J2
 (7/210)",,,,,,
HS 108,Japan Studies,3,0,0,2,Toshiki Osada(I),,40,,"K1,K2
 (7/103)",,,,,,,
HS 152,Japanese Language for Beginners,3,1,0,4,Sweta Mistry(I),,54,,"P1,P2
 (11/102)","L1
(11/102)",,Course Plan,,,,
HS 153,Advance Japanese Learning,3,1,0,4,Sweta Mistry(I),,40,,"I1,I2
 (11/102)","L2
(11/102)",,Course Plan,,,,
HS 154,Mandarin for Beginners,3,0,0,4,"Kao(I), Hao-Tsung(I)",,40,,"N1,N2
 (7/104)",,,,,,,
HS 155,Mandarin for Beginners - II,3,0,0,4,"Kao(I), Hao-Tsung(I)",,40,,"L1,L2
 (7/203)",,,,,,,
IN 304,Ancient Indian Technology,3,0,0,4,Alok Kumar Kanungo(I),,49,,"N1,N2
 (7/205)",,,https://drive.google.com/file/d/1N_NVxj1sORQmk_zXLa-apmPmSYxLGNxh/view?usp=drive_link,,,,
IN 491,Special Topics: Foundations of User Experience,3,0,0,4,Nuno Guimaraes(I)        ,,,,"N1,N2
(Online)",,,,,,,
HS 425,Introduction to Archaeology,3,0,0,4,Sharada Channarayapatna(I),,47,,"K1,K2
 (7/102)",,,Course plan,,,,
HS 491-XI,Understanding and Designing Comics,3,0,0,4,Argha Manna(I),,54,,"N1,N2
 (10/102)",,,https://drive.google.com/file/d/1c3XE1qni5TZQtuGVTqdbNWSO9HFVQ7FI/view?usp=drive_link,,,,
DES 491-I,Communication Design in Science,3,0,0,4,Argha Manna(I),,47,,"J1,J2
 (7/107)",,,https://drive.google.com/file/d/1gUzD3CXZT7qurWrOrkFm98qGLquqpa7w/view?usp=drive_link,,,,
MS 491-VIII,Special Topics in Management: Laboratory in Entrepreneurial Motivation,3,0,0,4,Sunil Handa(I),,,,"Saturday,Sunday",,,,,,,
MS 491-XIII,"Special Topics in Management: An Introduction to Business, Organization & Finance",3,0,0,4,Praveen Gupta(I),,,,"P1,P2
(7/201)",,,,,,,
MS 492-IV,Business Ethics and Responsible Leadership,3,0,0,2,Ramachandran Veetikazhi(I),,50,,"M1,M2
 (7/102)",,,"Timetable, Sem-I, 2025-26",,,,
HS 507,"Humanism, Antihumanism, Posthumanism",3,0,0,4,Angus McBlane(I),,40,,"J1,J2
 (7/105)",,,,,,,
HS 510,Perspectives on Indian Civilization,3,0,0,4,Alok Kumar Kanungo(I),,49,,"G1,G2
 (7/107)",,,,,,,
HS 512,Political Thought,3,0,0,4,T. Subba(I),,40,,"E1,E2
(7/108)",,,https://docs.google.com/document/d/1X4E4vPA3zi0PtqrayhLSRPQUtBQ7-xUD/edit?usp=sharing&ouid=112722193455628803222&rtpof=true&sd=true,,,,
HS 520,Ancient Indian Architecture,3,0,0,4,V N Prabhakar(I),,46,,"L1,L2
 (7/102)",,,,,,,
HS 521,Development Economics,3,0,0,4,Deepak Singhania(I),,40,,"K1,K2
 (11/102)",,,https://drive.google.com/file/d/1fVgfqjsmCzO5g5ad634L_Lt3D0zPN-Ko/view,,,,
HS 524,Qualitative Research Methods,3,0,0,4,Ambika Aiyadurai(I),,58,,"C1,C2
 (7/202)",,,,,,,
HS 526,"Education, Technology and Society",3,0,0,4,Aditi Kothiyal(I),,,,"D1,D2
(7/204)",,,,,,,
DES 591-I,Special Topics in Design: Game Appreciation and Game Aesthetics,3,0,0,4,Malay Dhamelia(I),,,,"M1,M2
(7/210)",,,Broad Course Plan,,,,
HS 631,Digital Cultures and New Media,3,0,0,4,Arnapurna Rath(I),,40,,"L1,L2
 (7/104)",,,,,,,
HS 633,Scarred Nations,3,0,0,4,Madhumita Sengupta(I),,31,,"L1,L2
 (7/204)",,,,,,,
HS 647,"Literature, Theory and Social Context",3,0,0,4,Arka Chattopadhyay(I),,40,,"D1,D2
 (7/201)",,,Course Plan,Critical theory & Literature,,,HSS MA Core
HS 651,Critical Perspectives in Sociology,3,0,0,4,Aashish Xaxa(I),,56,,"D1,D2
 (10/102)",,,,,,,
HS 652,"Reading Philosophy: Classical, Contemporary, and 
Global Perspectives",3,0,0,4,Angus McBlane(I),,40,,"J1,J2
 (7/105)",,,,,,,
HS 655,Academic Communication: Argumentation and Reasoning,3,0,0,2,Jooyoung Kim(I),,13,,"K1,K2
 (7/104)",,,HS 655,PhD or Advanced Masters,,,
HS 691-XI,Techniques of Linguistic and Cultural Documentation,3,0,0,4,Toshiki Osada(I),,40,,"P1,P2
 (7/104)",,,,,,,
