    ,,,,,
Slot,Monday,Tuesday,Wednesday,Thrusday,Friday
8:30 - 9:50,A1,B1,A2,C2,B2
10:00 - 11:20,C1,D1,E1,D2,E2
11:30 - 12:50,F1,G1,H2,F2,G2
13:00 - 14:00,T1,T2,T3,O1,O2
14:00 - 15:20,I1,J1,I2,K2,J2
15:30 - 16:50,K1,L1,M1,L2,M2
17:00 - 18:20,H1,N1,P1,N2,P2
